stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00389P,,Gama Tower,,-6.224140,106.833030,1,,0,2,,
B00391P,,Gandaria City,,-6.243912,106.782400,1,,0,2,,
B02816P,,Perumahan Walikota Jakbar 1,,-6.214325,106.725090,1,,0,2,,
B00394P,,Gg. Ahmad Squadron,,-6.268976,106.877510,1,,0,2,,
B00395P,,Gg. Aim 1,,-6.200344,106.935100,1,,0,2,,
B00396P,,Gg. Aim 2,,-6.200395,106.935150,1,,0,2,,
B00397P,,Gg. Al Khoiriyah Cibubur,,-6.363732,106.884310,1,,0,2,,
B00398P,,Gg. Al Mawaddah Tengah,,-6.287911,106.862920,1,,0,2,,
B00399P,,Gg. Alfa Tanah Tinggi,,-6.182720,106.848390,1,,0,2,,
B00400P,,Gg. Ali,,-6.307683,106.876360,1,,0,2,,
B00401P,,Gg. Amd XXVIII Balekambang,,-6.289318,106.853830,1,,0,2,,
B00403P,,Gg. Anawinka Naga Raya,,-6.223403,106.907620,1,,0,2,,
B00404P,,Gg. Anggur Cipete Dalam,,-6.276068,106.800520,1,,0,2,,
B00405P,,Gg. Ani Raya Condet,,-6.266674,106.860540,1,,0,2,,
B00406P,,Gg. Arba Johar Baru,,-6.185385,106.852340,1,,0,2,,
B00407P,,Gg. Asem Ciracas,,-6.321196,106.870240,1,,0,2,,
B00408P,,Gg. Ash Shirot,,-6.297253,106.893840,1,,0,2,,
B00409P,,Gg. Asmat Petukangan,,-6.244316,106.752000,1,,0,2,,
B00410P,,Gg. Ayama,,-6.272040,106.867100,1,,0,2,,
